year,stage,team_a,team_b,score_a,score_b,winner
2022,Final,Argentina,France,3,3,Argentina
2018,Final,France,Croatia,4,2,France
2014,Final,Germany,Argentina,1,0,Germany
2010,Final,Netherlands,Spain,0,1,Spain
2006,Final,Italy,France,1,1,Italy
2002,Final,Germany,Brazil,0,2,Brazil
1998,Final,Brazil,France,0,3,France
1994,Final,Brazil,Italy,0,0,Brazil
1990,Final,West Germany,Argentina,1,0,West Germany
1986,Final,Argentina,West Germany,3,2,Argentina
1982,Final,Italy,West Germany,3,1,Italy
1978,Final,Argentina,Netherlands,3,1,Argentina
1974,Final,Netherlands,West Germany,1,2,West Germany
1970,Final,Brazil,Italy,4,1,Brazil
1966,Final,England,West Germany,4,2,England
1962,Final,Brazil,Czechoslovakia,3,1,Brazil
1958,Final,Brazil,Sweden,5,2,Brazil
1954,Final,West Germany,Hungary,3,2,West Germany
1950,Final Round,Uruguay,Brazil,2,1,Uruguay
1938,Final,Italy,Hungary,4,2,Italy
1934,Final,Italy,Czechoslovakia,2,1,Italy
1930,Final,Uruguay,Argentina,4,2,Uruguay
